question_text,option_a,option_b,option_c,option_d,correct_option,subject
Which part of the plant conducts food?,Root,Stem,Phloem,Xylem,Phloem,Biology
Which organ is responsible for pumping blood?,Lungs,Heart,Brain,Stomach,Heart,Biology
Which gas is released during photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen,Biology
What is the basic unit of life?,Tissue,Organ,Cell,Organism,Cell,Biology
Which part of the cell contains hereditary material?,Cytoplasm,Cell wall,Nucleus,Vacuole,Nucleus,Biology
Which organ in the human body purifies blood?,Liver,Heart,Kidney,Lungs,Kidney,Biology
What is the function of red blood cells?,Transport oxygen,Produce hormones,Fight infection,Control temperature,Transport oxygen,Biology
Which organ controls all body activities?,Heart,Lungs,Brain,Stomach,Brain,Biology
Which part of the plant absorbs water?,Leaf,Stem,Root,Flower,Root,Biology
Which process converts glucose into energy?,Photosynthesis,Respiration,Transpiration,Germination,Respiration,Biology
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Golgi body,Mitochondria,Biology
What is the green pigment in leaves called?,Chlorophyll,Haemoglobin,Carotene,Xanthophyll,Chlorophyll,Biology
Which blood group is known as the universal donor?,A,B,AB,O,O,Biology
Which part of the flower produces pollen?,Stigma,Anther,Ovule,Petal,Anther,Biology
Which vitamin is produced in the skin by sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D,Biology
Which part of the brain controls balance?,Cerebrum,Cerebellum,Medulla,Spinal cord,Cerebellum,Biology
Which is the largest organ in the human body?,Heart,Skin,Liver,Brain,Skin,Biology
Which gas is taken in during respiration?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen,Biology
Which organ produces insulin?,Liver,Pancreas,Kidney,Spleen,Pancreas,Biology
Which of these is a sense organ?,Heart,Stomach,Skin,Muscle,Skin,Biology
Which blood vessel carries blood away from the heart?,Vein,Artery,Capillary,Nerve,Artery,Biology
Which part of the eye controls the amount of light entering?,Lens,Retina,Pupil,Iris,Iris,Biology
Which part of the human body helps in hearing?,Eye,Tongue,Nose,Ear,Ear,Biology
What is the main function of white blood cells?,Transport oxygen,Produce hormones,Fight infection,Carry carbon dioxide,Fight infection,Biology
Which process helps plants lose water through leaves?,Transpiration,Respiration,Photosynthesis,Absorption,Transpiration,Biology
What type of reproduction involves one parent?,Asexual,Sexual,Binary,Multiple,Asexual,Biology
Which structure connects mother and fetus?,Umbilical cord,Placenta,Amnion,Yolk sac,Placenta,Biology
Which organ helps in breathing?,Heart,Liver,Lungs,Kidney,Lungs,Biology
What is the normal temperature of the human body?,36°C,37°C,38°C,39°C,37°C,Biology
Which enzyme is present in saliva?,Pepsin,Trypsin,Amylase,Lipase,Amylase,Biology
