Question,Answer
"What is the value of (x + y)² if x = 3 and y = 4?",49
"What is the zero of the polynomial p(x) = x – 5?",5
"If the roots of ax² + bx + c = 0 are equal, what is the condition?",b² = 4ac
"Find the HCF of 24 and 36.",12
"What is the sum of first 10 natural numbers?",55
"The value of sin²θ + cos²θ is always?",1
"What is the area of a circle with radius 7 cm?",154
"If 3x – 7 = 11, find x.",6
"What is the slope of the line y = 3x + 2?",3
"What is the distance between points (0,0) and (3,4)?",5
"Find the mode of the data: 3, 7, 3, 9, 3, 8, 7.",3
"What is the quadratic formula used to find roots of ax² + bx + c = 0?",(-b±√(b²-4ac))/2a
"What is the probability of getting a head in one coin toss?",0.5
"What is the sum of the interior angles of a triangle?",180°
"Find the value of 2³.",8
"If a = 2 and b = 3, what is (a + b)² – (a – b)²?",24
"Find the median of 5, 7, 9, 11, 13.",9
"The circumference of a circle is 2πr. If r = 3 cm, what is it?",6π
"If sinθ = 3/5, find cosθ.",4/5
"What is the LCM of 8 and 12?",24
"Find the roots of x² – 9 = 0.",3 and -3
"Find the perimeter of a rectangle with length 10 cm and breadth 6 cm.",32
"The sum of the first n natural numbers is given by?",n(n+1)/2
"The tangent of 45° is?",1
"If a line has the equation 2x + 3y = 6, what is its y-intercept?",2
"The coordinates of the origin are?","(0,0)"
"Simplify: (x² – y²) = ?","(x + y)(x – y)"
"The value of (0.1)² is?",0.01
"What is 15% of 200?",30
"What is the cube of 4?",64
